code,note1,note2,note3,note4,note5
"CN71420JP6	",111111487,,,,
"SGH15203R0	",111111488,,,,
"CN71470PY4	",111111489,,,,
"SGH138X5YP	",111111490,,,,
"SGH141XE87	",111111491,,,,
"SGH143X4Y0	",111111492,,,,
"SGH143X50K	",111111493,,,,
"SGH143X523	",111111494,,,,
"SGH143X53N	",111111495,,,,
"SGH146X7NN	",111111496,,,,
"SGH147XEDS	",111111497,,,,
"SGH147XFSD	",111111498,,,,
"SGH147XKEW	",111111499,,,,
"4672092	",111111500,,,,
"SGH147XKHL	",111111501,,,,
"SGH147XKKB	",111111502,,,,
"SGH15203FJ	",111111503,,,,
"CN71410QGW	",111111504,,,,
"SGH15203JD	",111111505,,,,
"CN71450VLX	",111111506,,,,
"SGH15203R2	",111111507,,,,
"CN71470FJX	",111111508,,,,
"SGH141XE8H	",111111509,,,,
"SGH143X4Y5	",111111510,,,,
"SGH143X50P	",111111511,,,,
"SGH143X526	",111111512,,,,
"SGH143X53W	",111111513,,,,
"SGH146X870	",111111514,,,,
"SGH147XEE2	",111111515,,,,
"SGH147XFSK	",111111516,,,,
"SGH147XKF1	",111111517,,,,
"5294181	",111111518,,,,
"SGH147XKHS	",111111519,,,,
"SGH147XKKE	",111111520,,,,
"SGH151YYFV	",111111521,,,,
"CN71410KJ7	",111111522,,,,
"SGH15203FS	",111111523,,,,
"CN71410QHB	",111111524,,,,
"SGH15203N8	",111111525,,,,
"CN71460Q8K	",111111526,,,,
"SGH15203RP	",111111527,,,,
"CN71470FK1	",111111528,,,,
"SGH138X64F	",111111529,,,,
"SGH143X4X4	",111111530,,,,
"SGH143X512	",111111531,,,,
"SGH143X52C	",111111532,,,,
"SGH143X543	",111111533,,,,
"SGH147XA01	",111111534,,,,
"SGH147XEE3	",111111535,,,,
"SGH147XJKA	",111111536,,,,
"SGH147XKF6	",111111537,,,,
"5294184	",111111538,,,,
"SGH147XKHX	",111111539,,,,
"SGH147XKKF	",111111540,,,,
"CN714009R7	",111111541,,,,
"SGH151YYH3	",111111542,,,,
"SGH15203FT	",111111543,,,,
"CN71410QHH	",111111544,,,,
"SGH15203ND	",111111545,,,,
"CN71460Q8W	",111111546,,,,
"SGH15203SC	",111111547,,,,
"CN71470FK2	",111111548,,,,
"SGH138X580	",111111549,,,,
"SGH138X655	",111111550,,,,
"SGH139X9M8	",111111551,,,,
"SGH141XE8W	",111111552,,,,
"SGH141XEBJ	",111111553,,,,
"SGH143X4YP	",111111554,,,,
"SGH143X513	",111111555,,,,
"SGH143X52K	",111111556,,,,
"SGH143X54B	",111111557,,,,
"SGH147XA09	",111111558,,,,
"SGH147XJKN	",111111559,,,,
"SGH147XKFA	",111111560,,,,
"5294185	",111111561,,,,
"SGH147XKJ2	",111111562,,,,
"CN71340FLP	",111111563,,,,
"SGH147XKKL	",111111564,,,,
"SGH151YYH6	",111111565,,,,
"CN71410QDH	",111111566,,,,
"SGH15203H2	",111111567,,,,
"SGH15203NE	",111111568,,,,
"SGH201X5T5	",111111569,,,,
"CN71470FK8	",111111570,,,,
"CN715011DB	",111111571,,,,
"SGH111X3L9	",111111572,,,,
"SGH138X582	",111111573,,,,
"SGH140XV17	",111111574,,,,
"SGH141XE8Y	",111111575,,,,
"SGH142XXBL	",111111576,,,,
"SGH143X4YR	",111111577,,,,
"SGH143X516	",111111578,,,,
"SGH143X52S	",111111579,,,,
"SGH143X54D	",111111580,,,,
"SGH147XETB	",111111581,,,,
"SGH147XKFH	",111111582,,,,
"5294218	",111111583,,,,
"SGH147XKJ5	",111111584,,,,
"SGH147XKKS	",111111585,,,,
"CN714009RD	",111111586,,,,
"SGH151YYH7	",111111587,,,,
"CN71410QDP	",111111588,,,,
"SGH15203H3	",111111589,,,,
"SGH15203NM	",111111590,,,,
"CN715011DV	",111111591,,,,
"SGH138X587	",111111592,,,,
"SGH141XE9F	",111111593,,,,
"SGH141XEBX	",111111594,,,,
"SGH143X4WF	",111111595,,,,
"SGH143X4YT	",111111596,,,,
"SGH143X51B	",111111597,,,,
"SGH143X52V	",111111598,,,,
"SGH143X54F	",111111599,,,,
"SGH147XA13	",111111600,,,,
"SGH147XETF	",111111601,,,,
"SGH147XKE4	",111111602,,,,
"SGH147XKFL	",111111603,,,,
"5294220	",111111604,,,,
"SGH147XKJB	",111111605,,,,
"CN71380VRB	",111111606,,,,
"SGH147XKKY	",111111607,,,,
"CN714009RL	",111111608,,,,
"SGH151YYHH	",111111609,,,,
